species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guilds,trophic_guild_primary,trophic_qa_answer,trophic_sources,body_size_range_mm,body_size_measurements_mm,body_size_qa_answer,body_size_sources,habitat_categories,habitat_qa_answer,habitat_sources
Anurophorus septentrionalis,Anurophorus,Isotomidae,1387124,species,algivore|detritivore,algivore,"there is no direct information about the diet of *Anurophorus septentrionalis*. However, it is noted that *Anurophorus septentrionalis* is a species included in studies regarding genetic structure and is part of the family Isotomidae, which typically consists of springtails that feed on decaying organic matter and algae . Further details about its specific dietary preferences are not provided in…",PMC4947257(pmc),,,"there is no direct mention of the body length of *Anurophorus septentrionalis*. However, related species such as *Hermanniella septentrionalis* and *Rhagomys septentrionalis* are discussed, but their measurements do not directly apply to *Anurophorus septentrionalis* , . Therefore, the body length of *Anurophorus septentrionalis* cannot be determined from the given sources.",10.11646/zootaxa.5187.1.9(pmc)|10.1093/jmammal/gyaa104(pmc),,"Anurophorus septentrionalis is a species of Collembola (springtails) that inhabits specific environments. It is part of the family Isotomidae and has been studied in relation to its ecological adaptations and genetic structure within Europe . However, the exact habitat details for A. septentrionalis are not explicitly stated in the given texts.",PMC4947257(pmc)
Archisotoma interstitialis,Archisotoma,Isotomidae,89820,genus,unknown,unknown,"there is no direct mention of what Archisotoma interstitialis feeds on. However, related species within the Waldheimia genus are known to feed on specific plants, such as Cissus spp. and Hamelia patens. Since Archisotoma interstitialis is not explicitly discussed in terms of diet in the given sources, further research would be needed to determine its food source .",D13B879DFFE1FF92FF45EC63FA85F9EE(plazi),2.5-2.7,2.5|2.7,"there is no direct mention of the body length of *Archisotoma interstitialis*. However, related species such as *Longior similis* have been described with body lengths ranging from 2.500 to 2.700 mm . Since *Archisotoma interstitialis* is not explicitly discussed in the given texts, the specific body length cannot be determined from these sources.",03C1879DFFA6FFCCA8ACFCA62850F832(plazi),marine_coastal|freshwater,"*Archisotoma interstitialis* is found in littoral habitats , and it has been specifically noted in coastal mudflat wetlands where it contributes to the Collembola community . Additionally, it is associated with disturbed environments such as those experiencing frequent inundation, like salt marsh areas . These findings suggest that *A. interstitialis* thrives in moist, often saline or brackish…",PMC7365838(pmc)|PMC9963046(pmc)|PMC5730192(pmc)
Archisotoma megalops,Archisotoma,Isotomidae,7931,species,unknown,unknown,"there is no specific information regarding the diet of *Archisotoma megalops*. The available sources discuss the taxonomy, habitat, and ecological roles of various organisms but do not mention the feeding habits of *Archisotoma megalops* . Therefore, the dietary preferences of this species remain unspecified in the given context.",30647312(medline),0.4-0.6,0.4|0.6|0.49|0.55,"there is no specific mention of ""Archisotoma megalops."" However, two related species, *Archisotoma jariani* and *Archisotoma catiae*, are described with body lengths ranging from 0.4 to 0.6 mm and 0.49 to 0.55 mm respectively , . Since *Archisotoma megalops* is not mentioned in the given sources, its body length cannot be determined from this information.",03FF87C36C6BFF804EFFC87640694A45(plazi)|D13B879DFFE1FF92FF45EC63FA85F9EE(plazi),marine_coastal|soil,"Archisotoma megalops is mentioned in the context of salt marsh soil mesofauna, indicating that it inhabits salt marsh environments . Additionally, it is listed among Collembola species associated with terrestrial and coastal habitats, suggesting a possible connection to moist soils near land-sea interfaces . However, specific details about its exact habitat preferences are limited in the given…",PMC8301111(pmc)|PMC5730192(pmc)
Archisotoma pulchella,Archisotoma,Isotomidae,1725395,species,unknown,unknown,"Archisotoma pulchella feeds on the flowers of Buddleja sp. (Scrophulariaceae), Coffea sp. (Rubiaceae), and Hibiscus sp. (Malvaceae) in India . Additionally, it may also feed on other plants such as Cratoxylum formosum (Hypericaceae), Lagerstroemia cf. floribunda (Lythraceae), and Xylia xylocarpa (Fabaceae) depending on the region .",03C33B14FFD3E7571F91FCB657322829(plazi)|4C3A6F58BF21FF8D14B9061F41DFF3CE(plazi),,,"there is no direct mention of the body length of *Archisotoma pulchella*. However, document refers to *Archisotoma pulchella* in the context of its feeding preferences, but does not specify its body length. Document discusses the description of *Glenea vellayaniensis* and mentions *G. pulchella*, but again, no body length is given. Therefore, the specific body length of *Archisotoma pulchella* is…",PMC5730192(pmc)|10.1080/00222933.2021.1900442(pmc),marine_coastal,"Archisotoma pulchella is associated with salt marsh environments where it primarily feeds on diatoms . It is found in the pioneer zone of salt marshes, relying on marine-based food sources, while higher zones depend more on terrestrial resources . No further details about its exact habitat preferences beyond this context are given in the sources.",PMC5730192(pmc)
Arrhopalites caecus,Arrhopalites,Arrhopalitidae,226808,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Arrhopalites caecus*. The available sources focus on taxonomy, morphology, and geographic distribution rather than ecological interactions such as food sources . Further research would be needed to determine the feeding ecology of this species.",PMC12547479(pmc)|10.11646/zootaxa.5632.1.8(pmc)|10.11646/zootaxa.5673.4.3(pmc),0.71-0.81,0.71|0.81,"the body length of *Arrhopalites caecus* is not explicitly stated. However, related species such as *Arrhopalites brevicornis* have a body length ranging from 0.71 to 0.81 mm for females . For *A. caecus*, it can be inferred that its body length might be within a similar range, but this requires direct measurement from specimens .",10.11646/zootaxa.5632.1.8(pmc)|10.11646/zootaxa.5673.4.3(pmc)|PMC9848831(pmc)|10.11646/zootaxa.430.1.1(pmc),leaf_litter|soil|grassland,"Arrhopalites caecus inhabits soil and leaf litter in Iran . There is no specific mention of its habitat in other regions, but related species like Arrhopalites beijingensis are found in grassland areas in China .",PMC9848831(pmc)|10.11646/zootaxa.5275.1.1(pmc)
Ballistura borealis,Ballistura,Isotomidae,2736156,genus,unknown,unknown,"there is no specific information about the diet of Ballistura borealis. The document mentions Ballistura alpa and other species within the Proisotoma genus complex, but it does not specify what Ballistura borealis feeds on . Therefore, the feeding habits of Ballistura borealis cannot be determined from the given sources.",22371662(medline),0.5,0.5|0.5,"there is no specific mention of ""Ballistura borealis"" in the given text. However, there is a reference to ""Ballistura rossi,"" which has a length to 0.5 mm . It appears there may be confusion or a typo in the name. If referring to ""Ballistura rossi,"" the body length is up to 0.5 mm. For ""Ballistura borealis,"" no data is available in the provided sources.",1292AF53565E04B9D321D327E4F8AF9B(plazi),soil,"there is no specific mention of the habitat of *Ballistura borealis*. However, the term ""borealis"" appears in several contexts, often indicating a northern or polar distribution. For example, *Ceratophysella cf. borealis* inhabits soils under various vegetation types in Iran , while *Typhula ishikariensis* and *Spirorbis borealis* are found in Arctic regions . Without direct reference to…",10.11646/zootaxa.5275.1.1(pmc)|PMC6059071(pmc)
Bilobella aurantiaca,Bilobella,Neanuridae,106915,species,unknown,unknown,"there is no direct information about the diet of *Bilobella aurantiaca*. The sources discuss its taxonomic classification, phylogenetic relationships, and ecological roles but do not specify feeding habits . Further studies would be required to determine its dietary preferences.",PMC7971285(pmc)|PMC7706535(pmc)|PMC11432141(pmc)|PMC7677293(pmc)|10.5281/zenodo.4620094(pmc),2.75-4,2.75|4.0,"the body length of *Bilobella aurantiaca* is not explicitly stated. However, a related species, *Bilobella matsakisi*, has a body length (without antennae) ranging from 2.75 to 4 mm . Since *B. aurantiaca* is mentioned in the same context and may share similar morphological traits, it is possible that its body length could fall within a comparable range; however, this remains an inference due to…",03E8878C3C05735ED89DF923FDDDFD75(plazi),soil,Bilobella aurantiaca is found in soil habitats . This species is part of the family Neanuridae and has been recorded in various regions including Iran . There is no additional specific detail about its microhabitat preferences beyond being associated with soil environments.,10.11646/zootaxa.5275.1.1(pmc)
Bilobella braunerae,Bilobella,Neanuridae,106916,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Bilobella braunerae*. The available sources discuss structural variations, polymorphism, and taxonomic details of *Bilobella* species, but none mention feeding behavior or food sources for *Bilobella braunerae* . Further research would be needed to determine its dietary preferences.",821653(medline)|808313(medline)|5676107(medline),,,there is no specific information regarding the body length of *Bilobella braunerae*. The source mentions *Bilobella aurantiaca* in relation to genetic clustering but does not provide any morphological measurements for *Bilobella braunerae* . Further studies or references would be needed to determine its body length.,33796684(medline),soil|forest_wood,"Bilobella braunerae is listed under the Poduromorpha Neanuridae, but specific habitat details are not explicitly stated. However, related species like Bilobella aurantiaca are noted to inhabit soil environments . Additionally, some entries suggest a possible association with forested areas, given mentions of ""France Jardin Entomologie, MNHN"" and ""New Caledonia"" . These hints imply that Bilobella…",PMC10230187(pmc)|10.11646/zootaxa.5275.1.1(pmc)
Bilobella massoudi,Bilobella,Neanuridae,106917,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Bilobella massoudi*. The available sources discuss structural variations in polytene chromosomes and biogeographic aspects of related species like *Bilobella aurantiaca* , , . For detailed dietary information on *Bilobella massoudi*, additional studies would be required.",5676107(medline)|821653(medline)|808313(medline),,,there is no specific mention of the body length of *Bilobella massoudi*. The sources discuss various species within related genera and tribes but do not provide details on *Bilobella massoudi* .,03D46157FFAEFFBAFF58F9C6FDF1FE07(plazi)|03E087E3FFB1FFF8409CFFF4FAC2FF19(plazi)|03D46157FFAEFFB9FF58FCF7FBB1F9F6(plazi)|03BE2A4AFFA2FFEC51A97C0EFB33FD59(plazi)|2D1E87C1FFF12D338F01F93F9067FE14(plazi),soil,"Bilobella massoudi is noted to inhabit soil environments . This information is derived from an annotated checklist of the Collembola from Iran, where the ecological preferences of Bilobella aurantiaca are described as being associated with soil habitats. Although direct mention of Bilobella massoudi's habitat is not explicitly stated, it can be inferred that its habitat may be similar to other…",10.11646/zootaxa.5275.1.1(pmc)
Bourletiella arvalis,Bourletiella,Bourletiellidae,2049373,species,unknown,unknown,there is no specific information about the feeding habits of *Bourletiella arvalis*. The available sources describe its geographical distribution and morphological characteristics but do not mention its diet .,03B287EEFFD5CF3CFF2FFCE84387FC74(plazi)|266B5D55F725FFB7FF7EFC974637FBD7(plazi),1.8,1.8,"there is no specific mention of ""Bourletiella arvalis."" However, a related species, Bourletiella meghalayensis, has a body length of 1.8 mm . Therefore, it cannot be concluded what the body length of Bourletiella arvalis is from the given sources.",03B287EEFFD5CF32FCD1FA214235FB0F(plazi),freshwater|marine_coastal,"Bourletiella arvalis is not directly mentioned. However, the term ""arvalis"" is associated with Rana arvalis, which spends summers near breeding sites, often on grassy shores of wetlands in northern regions . Additionally, Microtus arvalis, the common vole, is noted as a host for certain species like Zercon brachysetosus and Ameroseiella stepposa , but these are unrelated to Bourletiella arvalis.…",03BE87CBFF834A6DB8887DB34028FD4C(plazi)|F3024465FFE0FFE9FF07FF6572361039(plazi)|03ED87DBFFC23875FD84D5DD6382015C(plazi)
Bourletiella viridescens,Bourletiella,Bourletiellidae,574227,genus,unknown,unknown,"there is no direct information about the diet of *Bourletiella viridescens*. However, related species within the same genus or family may provide some context. For example, *Meligethes viridescens* feeds on plants in the Brassicaceae family, including species like *Brassica*, *Sinapis*, and *Raphanus* . While this information pertains to a different species (*Meligethes viridescens*), it suggests…",03FF87FC165948153BBD4B36FC2F937A(plazi),,,"the body length of Bourletiella viridescens is not explicitly stated. It is mentioned that certain characters, including possibly body length, are observed in Bourletiella viridescens, but specific measurements are not given . Additional studies may be required to determine precise body length metrics.",PMC8151398(pmc),agricultural|leaf_litter,"Bourletiella viridescens is associated with habitats that include cold and damp litter . Additionally, it is mentioned in the context of habitat suitability modeling for agricultural areas in North America, suggesting it may inhabit environments related to crops such as canola . However, specific details about its exact habitat requirements are not elaborated upon in the given texts.",27395532(medline)|40237724(medline)
Brachystomella parvula,Brachystomella,Brachystomellidae,187611,species,detritivore,detritivore,"Brachystomella parvula is mentioned in association with specific habitats such as grasslands, forests, and leaf litter, but no direct information about its diet is given . Therefore, the feeding habits of Brachystomella parvula cannot be determined from the available sources.",PMC10603697(pmc)|PMC5696395(pmc)|PMC8004600(pmc),,,"the body length of *Brachystomella parvula* is not explicitly mentioned. However, it can be inferred that the body length might be relatively small given the description of *Kingdonella qinghaiensis*, which mentions ""body small size"" and compares features like the width of the mesosternal interspace and hind tibia color . For precise measurements, further specific data would be required.",A4B0B9F554815D49BEA1D50B41B7C03F(plazi),leaf_litter|soil|forest_wood|grassland,*Brachystomella parvula* inhabits soil of alfalfa fields and leaf litter in forest soil in Iran . Its general distribution is described as cosmopolitan .,721B6E0C8C04FFBBFF382034A95E27CF(plazi)
Ceratophysella bengtssoni,Ceratophysella,Hypogastruridae,1720639,species,unknown,unknown,there is no explicit information regarding the diet of *Ceratophysella bengtssoni*. The sources mention its presence in various habitats and some morphological characteristics but do not specify feeding habits . Further research would be needed to determine its dietary preferences.,PMC3131029(pmc)|PMC8359373(pmc)|10.5962/bhl.part.117808(pmc)|PMC6163862(pmc)|10.11646/zootaxa.5222.4.2(pmc),1-1.2,1.0|1.2,"the body length of *Ceratophysella bengtssoni* is not explicitly stated. However, it can be inferred that its body length is comparable to other species within the same genus, such as *Ceratophysella lobata*, which has a body length of 1-1.2 mm . For precise measurements specific to *C. bengtssoni*, additional data would be required.",03E20D10A851FFDCFF71FC12FCE9FC09(plazi),,,
Ceratophysella cavicola,Ceratophysella,Hypogastruridae,1288903,species,unknown,unknown,no specific information about the diet of *Ceratophysella cavicola* is given. The available data primarily focus on taxonomic classifications and descriptions of morphological features rather than feeding habits . Further research would be needed to determine its dietary preferences.,03E20D10A853FFD9FF71FE4DFCFFFC69(plazi),0.8-1.5,0.8|1.5,"the body length of *Ceratophysella cavicola* is not explicitly mentioned. However, related species within the genus *Ceratophysella* have body lengths ranging from 0.8 to 1.5 mm . Without specific information on *Ceratophysella cavicola*, it cannot be determined precisely.",PMC7940320(pmc)|10.11646/zootaxa.5432.4.5(pmc)|10.5962/bhl.part.150201(pmc),,"there is no specific information about the habitat of *Ceratophysella cavicola*. The text mentions *Rhabdoblatta cavicola* and describes its morphology and habitat photographs, but does not provide details about *Ceratophysella cavicola* . Therefore, the habitat of *Ceratophysella cavicola* cannot be determined from the given sources.",39646197(medline)
Ceratophysella denticulata,Ceratophysella,Hypogastruridae,928250,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Ceratophysella denticulata*. The sources primarily focus on taxonomic descriptions, distribution, and morphological characteristics rather than ecological interactions or dietary preferences .",266B5D55F74FFFDDFF7EFAC8457DF892(plazi)|410342EDEDA74FFD71A533CEBE469C59(plazi),1.5,1.5,"the body length of *Ceratophysella denticulata* is not directly stated. However, related species such as *Ceratophysella jondavi* have a maximum body length of up to 1.5 mm , and *Ceratophysella adexilis* is mentioned in the context of being part of the *C. denticulata* group . These references suggest that *C. denticulata* likely shares a similar size range, though precise measurements are not…",40426A098B05A51BECEAFD5BFBB3FBC7(plazi)|03B287DDFFFBFD6AF582FB4D8CBC582E(plazi),soil|forest_wood,"Ceratophysella denticulata is associated with forest habitats . Additionally, it is noted to feed on bacteria and fungi, and possibly other soil organisms like nematodes . Its ecological niche suggests a preference for moist environments within forest soils .",PMC4947257(pmc)|PMC8359373(pmc)
Ceratophysella engadinensis,Ceratophysella,Hypogastruridae,2803653,species,unknown,unknown,"there is no specific information about the diet of *Ceratophysella engadinensis*. The mentioned studies focus on *Ceratophysella denticulata*, discussing topics such as its chemical defenses, thermal tolerance, and interactions with microplastics, but none address the feeding habits of *Ceratophysella engadinensis* .",26334858(medline)|17222862(medline)|15537161(medline)|26740559(medline)|39700973(medline),,,"there is no specific mention of the body length of *Ceratophysella engadinensis*. The sources discuss other species such as *Ceratophysella denticulata* and describe general features of springtails, but not the exact body length of *Ceratophysella engadinensis* .",17222862(medline)|26740559(medline)|26856893(medline)|39246360(medline)|26287091(medline),leaf_litter|soil|forest_wood|grassland,"*Ceratophysella engadinensis* inhabits litter at 2500 m in the Doi Inthanon forest in Thailand . Additionally, it is noted to be present in various habitats such as soil of rice fields, leaf litter, and soil under herbal cover in Iran . The species has a general cosmopolitan distribution .",03EA87B2FFB8FFEDFF26FCF1FC639E58(plazi)|721B6E0C8C1BFFA4FF3822E4A95E22C9(plazi)
Ceratophysella gibbosa,Ceratophysella,Hypogastruridae,187618,species,predator,predator,"Ceratophysella gibbosa is mentioned in relation to its ecological role as a sit-and-wait predator with jump escaping prey groups . However, none of the sources explicitly state what Ceratophysella gibbosa feeds on. The document focuses on thermal performance curves and predation behavior rather than dietary preferences. Therefore, specific information about its diet is not available in the given…",40020342(medline),1.09,1.09,"there is no specific mention of the body length of *Ceratophysella gibbosa*. However, *Ceratophysellaskarzynskii*, another species within the same genus, has a maximum body length of 1.09 mm . Since *Ceratophysella gibbosa* is not explicitly described in the given texts, its body length cannot be determined from the available information.",30774502(medline),freshwater,"there is no specific mention of the habitat of *Ceratophysella gibbosa*. However, one document mentions *Chilina gibbosa*, a freshwater snail, indicating that this species inhabits freshwater environments . It is important to note that *Ceratophysella gibbosa* may be a different species altogether, and its habitat is not described in the given sources.",30195390(medline)
Ceratophysella granulata,Ceratophysella,Hypogastruridae,1218962,species,unknown,unknown,"Ceratophysella granulata is mentioned in the context of being part of a group of species with specific morphological traits, but none of the sources explicitly state what Ceratophysella granulata feeds on. Therefore, the dietary habits of Ceratophysella granulata are not directly addressed in the given sources .",33716539(medline),0.8-1.5,0.8|1.5,"the body length of *Ceratophysella granulata* is not explicitly stated. However, it can be inferred that *Ceratophysella granulata* likely has a similar body length to other species within the same genus, which range from approximately 0.8 to 1.5 mm , . For precise measurements specific to *Ceratophysella granulata*, additional references would be required.",10.11646/zootaxa.5432.4.5(pmc)|10.5962/bhl.part.150201(pmc),cave,"*Ceratophysella granulata* is found in scree habitats, specifically in the middle and deeper scree layers at sites A, S, and ZA . It is also noted as part of the terrestrial invertebrate fauna in Polish caves . Additionally, it has been recorded in the Iberian Peninsula, indicating a broader distribution across various habitats . However, specific details about its preferred microhabitats beyond…",10.3897/subtbiol.40.69808(pmc)|10.3897/subtbiol.33.48805(pmc)|10.5281/zenodo.13314112(pmc)
