species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guild,trophic_guild_indirect,trophic_evidence_type,trophic_note,trophic_n_docs,trophic_sources,trophic_qa_answer,body_size_mm,body_size_indirect_mm,body_size_note,body_size_n_docs,body_size_sources,body_size_qa_answer,habitat,habitat_indirect,habitat_evidence_type,habitat_note,habitat_n_docs,habitat_sources,habitat_qa_answer,bold_n_specimens,bold_life_stage,bold_habitat,bold_sampling_protocol,bold_country,bold_province,bold_coord,bold_elev_m,bold_collection_dates,bold_biome,bold_ecoregion
Anurophorus septentrionalis,Anurophorus,Isotomidae,1387124,species,,,,the sources contain no explicit statement about this species' diet,1,266B5D55F772FFE0FF7EFEAD4549FDBC(plazi),"Based on the provided documents, there is no specific information regarding the diet of *Anurophorus septentrionalis* . The sources mention its geographic distribution but do not describe its feeding habits. Further research would be needed to determine its dietary preferences.",,,,1,266B5D55F772FFE0FF7EFEAD4549FDBC(plazi),"Based on the provided documents, there is no specific mention of the body length of *Anurophorus septentrionalis*. The sources discuss the geographical distribution and some taxonomic references but do not provide morphological measurements . Further studies or publications would be required to determine the body length of this species.",,,,the sources give no explicit habitat description for this species,1,266B5D55F772FFE0FF7EFEAD4549FDBC(plazi),"Based on the provided documents, the specific habitat of *Anurophorus septentrilonalis* is not explicitly mentioned. However, it is noted that reliable records of this species are restricted to Eastern Europe, suggesting its habitat may be limited to this region . Further details about its preferred environment are lacking in the given sources.",13,immature|adult|NA|Adult,Coniferous forest|Alpine|Mountain birch forest|NA|Litter at foot of pine tree,Soil/litter sample|NA,Finland|Estonia|Norway,Vestfold,"68.014,25.192|60.348,24.312|67.693,24.455",NA|74|542,2015-2019,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|Tundra_simplify-0.001_buffered-0.018|NA,Scandinavian_and_Russian_taiga|Scandinavian_Montane_Birch_forest_and_grasslands|Sarmatic_mixed_forests
Archisotoma interstitialis,Archisotoma,Isotomidae,89820,genus,,,,the sources contain no explicit statement about this species' diet,1,03CF878BFFA7C26522EF5B89FB92A9CB(plazi),"Based on the provided documents, there is no specific information regarding the diet of *Archisotoma interstitialis* . The sources mention its distribution across various coastal regions but do not describe its feeding habits. Further research would be needed to determine its food source.",,,,1,03CF878BFFA7C26522EF5B89FB92A9CB(plazi),"Based on the provided documents, there is no specific mention of the body length of *Archisotoma interstitialis*. The sources describe its distribution and habitat but do not provide morphological measurements . Further research or references would be needed to determine this characteristic.",sandy_dune|marine_coastal,,direct,categories resting only on a general term rather than an ecological description: marine_coastal,1,03CF878BFFA7C26522EF5B89FB92A9CB(plazi),"Based on the provided documents, *Archisotoma interstitialis* inhabits coastal areas, specifically sandy shores and beach environments. It has been recorded from the French regions of Bouches-du-Rhône, Finistère, and Pyrénées-Orientales . The species is associated with littoral zones, including the margins of tidal flats and beaches .",2,Adult,Seashore,NA,Norway,Vestfold,"59.141,10.469",NA,2014,NA,NA
Archisotoma megalops,Archisotoma,Isotomidae,7931,species,,,,,0,,,,,,0,,,,,,,0,,,2,Adult,EUNIS B2.2; Unvegetated mobile shingle beaches above the driftline,NA,Denmark,,"56.297,10.855",NA,2019,Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,NA
Archisotoma pulchella,Archisotoma,Isotomidae,1725395,species,,,,the sources contain no explicit statement about this species' diet,2,03CF878BFFA7C2652291593DFBDFAB5F(plazi),"Based on the provided documents, there is no specific information about the diet of *Archisotoma pulchella* . The sources mention its distribution and taxonomic history but do not describe feeding habits. Further research would be needed to determine its food source.",,,,2,03CF878BFFA7C2652291593DFBDFAB5F(plazi)|03CF878BFFA7C26522AA5E2CFB71AF8C(plazi),"Based on the provided documents, there is no specific mention of the body length of *Archisotoma pulchella*. The sources provide taxonomic and distributional information but do not include measurements or morphological details regarding its body size , .",,marine_coastal,,no explicit habitat description in the sources; value inferred,2,03CF878BFFA7C2652291593DFBDFAB5F(plazi),"Based on the provided documents, *Archisotoma pulchella* is found in the area of Finistère, specifically ""Sur la slikke dela Rance"" . It is also recorded from Loire-Atlantique, particularly Le Croisic . These locations suggest that *Archisotoma pulchella* inhabits coastal or brackish environments, likely within estuaries or tidal areas.",2,NA|adult,NA|inter-tidal mud,NA|ad hoc grab,United Kingdom,England,"51.4875,0.2875",NA|0,2012,NA,English_Lowlands_beech_forests
Arrhopalites caecus,Arrhopalites,Arrhopalitidae,226808,species,,,,the sources contain no explicit statement about this species' diet,13,38837715(medline)|33801126(medline)|25947839(medline)|16112312(medline)|41118851(medline)|41119333(medline)|E03187B3FF1FD4C9FF31F797FDE3FEF3(plazi)|03C387C2FFE0FFC3FE9C40A6A9C03196(plazi)|721B6E0C8C25FF9AFF3825D0A941238F(plazi)|03CF878BFFF7C235200B5B8EFA74AD8E(plazi)|266B5D55F71FFF8DFF7EFB90450CFAFD(plazi)|PMC8004137(pmc),"Based on the provided documents, there is no explicit mention of what Arrhopalites caecus feeds on. The sources discuss the ecology, distribution, and some physiological characteristics of this species but do not provide detailed information about its diet , , , , , . Further research would be needed to determine its feeding habits.",,,,13,25947839(medline)|16112312(medline)|38837715(medline)|03C387C2FFE0FFC3FE9C40A6A9C03196(plazi)|PMC8004137(pmc),"Based on the provided documents, there is no specific mention of the body length of *Arrhopalites caecus*. The sources discuss various aspects of this species, such as its habitat, behavior, and ecological role, but do not provide detailed morphometric data like body length . Further research or reference to specialized taxonomic resources would be required to determine this characteristic.",leaf_litter|cave|forest_wood,,direct,,13,16112312(medline)|38837715(medline)|721B6E0C8C25FF9AFF3825D0A941238F(plazi)|E03187B3FF1FD4C9FF31F797FDE3FEF3(plazi)|266B5D55F71FFF8DFF7EFB90450CFAFD(plazi)|PMC8004137(pmc),"Based on the provided documents, Arrhopalites caecus is found in diverse habitats, including cave systems and forest leaf litter, and has a global distribution . It is also noted to be relatively tolerant to pollutants compared to other Collembola species .",6,adult,Coniferous forest|Peatland,Soil/litter sample|Moss sample,Finland,,"65.319,25.353|66.744,28.812",NA|274,2019-2020,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,Scandinavian_and_Russian_taiga
Ballistura borealis,Ballistura,Isotomidae,2736156,genus,,,,,0,,,,,,0,,,,,,,0,,,18,adult|immature,Sea shore|Pond shore|Peatland,Seaweed from rocky beach|Moss sample|Soil/litter sample,Finland,,"60.15,24.877|66.76,28.77",NA|287,2019-2020,NA|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,NA|Scandinavian_and_Russian_taiga
Bilobella aurantiaca,Bilobella,Neanuridae,106915,species,,,,the sources contain no explicit statement about this species' diet,8,33796684(medline)|1E482D44FFE9F479FF36FED79043FB9B(plazi)|PMC7971285(pmc),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Bilobella aurantiaca*. The source mentions that *Y. szeptyckii* was closely clustered with *Bilobella aurantiaca* and *Friesea grisea*, but it does not provide details about their ecological niche or food sources . Further research would be needed to determine what *Bilobella aurantiaca* feeds on.",,,,8,33796684(medline)|721B6E0C8C09FFB6FF3823C5A8252279(plazi)|502187F3DD41FF87FF34FADF0AA3F8A4(plazi)|DE3DBD36FFC6DC69E17DF943FC53FB09(plazi)|03CF878BFF81C24022A15A15FD37A96C(plazi)|1E482D44FFE9F479FF36FED79043FB9B(plazi)|2D1E87C1FFF12D338F01F93F9067FE14(plazi)|PMC7971285(pmc),"Based on the provided documents, there is no specific information regarding the body length of *Bilobella aurantiaca*. The source mentions that *Y. szeptyckii* was closely clustered with *Bilobella aurantiaca* and *Friesea grisea*, but it does not provide any details about their physical characteristics or measurements .",,,,the sources give no explicit habitat description for this species,8,33796684(medline)|1E482D44FFE9F479FF36FED79043FB9B(plazi)|DE3DBD36FFC6DC69E17DF943FC53FB09(plazi)|502187F3DD41FF87FF34FADF0AA3F8A4(plazi)|PMC7971285(pmc),"Based on the provided documents, there is no specific information about the habitat of *Bilobella aurantiaca*. The source mentions that *Y. szeptyckii* was closely clustered with *B. aurantiaca* and *Friesea grisea*, but it does not provide details regarding their habitats . Additional research would be needed to determine the habitat preferences of *Bilobella aurantiaca*.",23,NA|I|A,NA,NA,France,Occitanie,"NA|42.7624,1.36214",NA,2001-2011,NA,NA|Pyrenees_conifer_and_mixed_forests
Bilobella braunerae,Bilobella,Neanuridae,106916,species,,,,the sources contain no explicit statement about this species' diet,2,502187F3DD41FF87FF34FADF0AA3F8A4(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Bilobella braunerae*. The references mention its classification and distribution but do not provide details about its food source . Further research would be needed to determine its dietary preferences.",,,,2,502187F3DD41FF87FF34FADF0AA3F8A4(plazi),"Based on the provided documents, there is no specific mention of the body length of *Bilobella braunerae*. The references primarily discuss its taxonomy, distribution, and phylogenetic relationships rather than morphological measurements . Additional studies or sources would be required to determine its body length.",,leaf_litter|soil,,the sources give no explicit habitat description for this species,2,502187F3DD41FF87FF34FADF0AA3F8A4(plazi),"Based on the provided documents, the specific habitat of *Bilobella braunerae* is not explicitly mentioned. However, it belongs to the family Neanuridae, which includes springtails typically found in moist environments such as soil, leaf litter, or under stones . Further details about its exact habitat would require more targeted research.",2,NA,"NA|G1.61, Medio-European acidophilous beech forests",NA,United Kingdom|Germany,Brandenburg,"52.4654,-2.4357|52.9593,13.7498",NA|50,2019,NA|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,Celtic_broadleaf_forests|Baltic_mixed_forests
Bilobella massoudi,Bilobella,Neanuridae,106917,species,,,,,0,,,,,,0,,,,,,,0,,,8,I,NA,NA,Slovenia,,"45.8269,14.1929|46.13521,14.392312|45.807552,14.234915",NA,2010,NA,Dinaric_Mountains_mixed_forests|Pannonian_mixed_forests
Bourletiella arvalis,Bourletiella,Bourletiellidae,2049373,species,,,,the sources contain no explicit statement about this species' diet,5,33365818(medline)|266B5D55F725FFB7FF7EFC974637FBD7(plazi)|03CF878BFFF1C23322795BCEFB0CAA64(plazi)|03B287EEFFD5CF3CFF2FFCE84387FC74(plazi)|PMC7706535(pmc),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Bourletiella arvalis* . The source primarily discusses the mitochondrial genome and its implications for phylogenetic studies within the Collembola group.",,,,5,33365818(medline)|266B5D55F725FFB7FF7EFC974637FBD7(plazi)|03CF878BFFF1C23322795BCEFB0CAA64(plazi)|03B287EEFFD5CF3CFF2FFCE84387FC74(plazi)|PMC7706535(pmc),"Based on the provided documents, there is no specific information regarding the body length of Bourletiella arvalis. The source discusses the mitochondrial genome and phylogenetic analysis but does not mention morphological characteristics such as body length .",,,,the sources give no explicit habitat description for this species,5,33365818(medline)|03CF878BFFF1C23322795BCEFB0CAA64(plazi)|266B5D55F725FFB7FF7EFC974637FBD7(plazi)|PMC7706535(pmc),"Based on the provided documents, there is no specific information about the habitat of Bourletiella arvalis. The source discusses the mitochondrial genome and phylogenetic analysis of this species but does not mention its ecological or environmental preferences .",5,NA,NA|14. Artificial - Terrestrial | 14.2 Pastureland,Malaise Trap,United Kingdom|Portugal,Braganca,"51.495,-0.179|51.49583,-0.1783333|41.492,-6.515",NA|500,2018-2025,NA|Mediterranean_Forest_Woodlands_&_Scrub_simplify-0.001_buffered-0.018,English_Lowlands_beech_forests|NA|Iberian_sclerophyllous_and_semi-deciduous_forests
