#,genus,family,trophic_guilds,status,evidence_sibils_qa,source_docids
11,Hypogastrura,Hypogastruridae,"omnivore, fungivore, algivore, detritivore, herbivore, predator",assigned from literature,"There is no direct mention of what Hypogastrura feeds on. However, it is known that Collembola generally feed on decaying organic matter, algae, lichens, and fungal hyphae. For specific feeding habits of Hypogastrura, further research would be needed.",PMC4569040(pmc)
12,Mesogastrura,Hypogastruridae,,diet not documented in literature,,37044521(medline)
13,Schoettella,Hypogastruridae,,diet not documented in literature,,985F87902F5BFFC497BEFF06DCDA3666(plazi)|985F87902F57FFCB97BEFB32D94F3505(plazi)|266B5D55F753FFC1FF7EFAF64506FA37(plazi)
14,Willemia,Hypogastruridae,,diet not documented in literature,,PMC3419650(pmc)
15,Xenylla,Hypogastruridae,,diet not documented in literature,,54C607EBD713C51CCCD28D742EF12E67(plazi)
16,Agrenia,Isotomidae,"omnivore, algivore, bacterivore, herbivore, predator",assigned from literature,"Agrenia bidenticulata feeds on a biofilm containing terrestrial diatoms, which are rich in proteins. This biofilm is formed on moist surfaces of sand and silt through the activity of diatoms and other microorganisms. Additionally, Agrenia is described as a bryophile species, indicating it may also…",PMC3788365(pmc)|PMC7240498(pmc)
17,Anurophorus,Isotomidae,predator,assigned from literature,There is no specific information regarding the diet or feeding habits of Anurophorus species. The sources discuss taxonomic distinctions and ecological impacts but do not mention what these organisms feed on. Further research would be needed to determine their dietary preferences.,34186805(medline)|23064850(medline)
18,Archisotoma,Isotomidae,detritivore,assigned from literature,"There is no direct mention of what Archisotoma feeds on. However, it is noted that some species within the family Isotomidae, including those related to Archisotoma, live in environments where they may feed on particles suspended in water or organic matter found in their habitat. Specific dietary…",54C607EBD713C51CCCD28D742EF12E67(plazi)
19,Ballistura,Isotomidae,,diet not documented in literature,,22371662(medline)|40471313(medline)
20,Cryptopygus,Isotomidae,"omnivore, algivore, fungivore, bacterivore, predator, detritivore",assigned from literature,"Cryptopygus is part of the Collembola group, which feeds on a wide variety of resources such as leaf litter, fungi, bacteria, roots, and algae. Specifically, the document mentions that Collembola, including species like Cryptopygus, play significant roles in soil ecosystems by regulating microbial…",PMC12547479(pmc)
21,Desoria,Isotomidae,"omnivore, fungivore, predator, detritivore",assigned from literature,Desoria ruseki feeds on corn litter and yeast as mentioned in the study. The research indicates that these two food sources led to distinct changes in the microbial communities associated with the Collembola.,36504791(medline)
22,Folsomia,Isotomidae,"fungivore, bacterivore, predator, detritivore, omnivore",assigned from literature,"Folsomia candida feeds on various substrates including fungal materials such as pigmented fungi and specific fungal species like Cladosporium cladosporioides. Additionally, they consume yeast as a food source when present in their environment. Their diet may also include organic matter found in…",15230327(medline)|36424842(medline)|9647845(medline)|15021980(medline)|249152930DFCAD4DBC8C5096C3E82EBB(plazi)|821712A9F20315E4AAD381B34CEFE38B(plazi)|039A87B5FFFF0E05FF0FF994FB5CFD49(plazi)|03B287EEFFD7CF3DFF2FFABC4411FC3C(plazi)|266B5D55F775FFE7FF7EFF724404FE27(plazi)
23,Folsomides,Isotomidae,,diet not documented in literature,,8F68E959EE6FA71FE20D7DCEFF55F954(plazi)|8F68E959EE69A715E2317E8FFC65F8B4(plazi)|8C6A711CFFC0B73AD8A8F757D4BFDC5F(plazi)|6531BB0AF158FF974D1DF9CC155C806D(plazi)|8F68E959EE69A711E0C97ECFFB78F8EE(plazi)
24,Gnathisotoma,Isotomidae,,diet not documented in literature,,10.5852/ejt.2021.787.1599(pmc)
25,Halisotoma,Isotomidae,,diet not documented in literature,,38221334(medline)
26,Hemisotoma,Isotomidae,"omnivore, fungivore, predator, detritivore",assigned from literature,"Hemisotoma thermophila is noted to be a dominant species in certain environments, but none of the sources explicitly state what Hemisotoma feeds on. However, one source mentions that nineteen out of twenty-four species identified from cotton fields were predominantly fungal feeders. This suggests…",26313958(medline)
27,Isotoma,Isotomidae,,diet not documented in literature,,03BB5233FF84FFCAE5DA664220C7FE63(plazi)|03BB5233FF80FFCEE5DA61CE2462F844(plazi)|266B5D55F703FF91FF7EFE224506FD51(plazi)|266B5D55F70AFF98FF7EFBAB457DF918(plazi)|580A851EFFDBFFACFF51FCF0FA59FA1C(plazi)
28,Isotomiella,Isotomidae,,diet not documented in literature,,PMC7934680(pmc)
29,Isotomodes,Isotomidae,,name absent from SIBILS corpus (verify for synonymy or misID),,
30,Isotomurus,Isotomidae,,diet not documented in literature,,0D38B345FFB81D01DA8BFB7E3666742A(plazi)|0D38B345FFBB1D00DA91FCB3302977FB(plazi)|0D38B345FFBD1D03D953FAFC309C71B0(plazi)|0D38B345FFB61D0FDA8BFF773161760B(plazi)|0D38B345FFBF1D05D952FC81335274F3(plazi)
31,Marisotoma,Isotomidae,,name absent from SIBILS corpus (verify for synonymy or misID),,
32,Pachyotoma,Isotomidae,"fungivore, detritivore",assigned from literature,"Pachyotoma species are primarily associated with feeding on fungal resources. They are described as mycophagous, meaning they consume fungi, and some species may selectively feed on different fungal species. Additionally, certain Pachyotoma species, like P. crassicauda, are noted to feed on…",PMC3419650(pmc)|PMC11718624(pmc)
33,Parisotoma,Isotomidae,"omnivore, detritivore, fungivore, bacterivore",assigned from literature,"Parisotoma species are described as decomposers that feed on litter and some fungi. Additionally, they are noted to potentially rely more on bacteria through an external rumen feeding strategy, particularly in hemiedaphic and euedaphic environments.",PMC8453724(pmc)|PMC10048822(pmc)
34,Proisotoma,Isotomidae,detritivore,assigned from literature,"There is no direct information about the feeding habits of Proisotoma. However, it is mentioned that certain species like Proisotoma sepulcralis are associated with decomposing bodies and possibly benefit from the decomposition process, which might involve feeding on organic matter related to…",31256818(medline)
35,Proisotomodes,Isotomidae,,diet not documented in literature,,730B87ECFFF3F241FF5EF8F07AFBFE0B(plazi)|365B3895F153730A921D496BD070F427(plazi)|C42D795BC2125A0E7DB907872714D998(plazi)
36,Pseudanurophorus,Isotomidae,predator,assigned from literature,There is no specific information regarding the diet or feeding habits of Pseudanurophorus barathrum. The document primarily focuses on the taxonomy and morphology of springtails from saline lakes in Russia and China. Further research would be needed to determine its dietary preferences.,32508499(medline)
37,Pseudisotoma,Isotomidae,,diet not documented in literature,,266B5D55F70BFF99FF7EFD954521FB65(plazi)|256B931EFFC4FFACFF3A4A4DFEC3FD7C(plazi)|256B931EFFC0FFA2FF3A48C3FA7CFD99(plazi)|CE2487CB0255FD3EB2D8FE0209E4F8A4(plazi)|5E2D9E05FF89FFD2FF50FA62FCA87CB0(plazi)
38,Scutisotoma,Isotomidae,predator,assigned from literature,"There is no specific information regarding the diet of Scutisotoma species. The sources describe the distribution and taxonomy of various Scutisotoma species but do not mention their feeding habits,. Further research would be needed to determine their dietary preferences.",22371662(medline)|32508499(medline)
39,Subisotoma,Isotomidae,,diet not documented in literature,,22371662(medline)|23794839(medline)
40,Tetracanthella,Isotomidae,"omnivore, algivore, bacterivore, predator",assigned from literature,"There is no explicit information regarding the diet of Tetracanthella. The sources primarily focus on the taxonomy, distribution, and morphological features of Tetracanthella and other Collembola species, but do not specify their dietary habits. Further research would be needed to determine the…",PMC7564799(pmc)|PMC6586687(pmc)|PMC3088458(pmc)|10.11646/zootaxa.5104.1.4(pmc)
41,Vertagopus,Isotomidae,"omnivore, fungivore, herbivore, predator, detritivore",assigned from literature,"Vertagopus species are primarily associated with plant material, particularly young leaves. Under sterile conditions, these leaves are toxic to certain Vertagopus species like V. pseudocinereus, whereas naturally grown leaves are non-toxic and support their growth and reproduction. Specific dietary…",17205807(medline)
42,Gisinianus,Katiannidae,,name absent from SIBILS corpus (verify for synonymy or misID),,
43,Katianna,Katiannidae,,diet not documented in literature,,27395532(medline)|24869686(medline)
44,Rusekianna,Katiannidae,,diet not documented in literature,,10.25674/So94iSS1id179(pmc)
45,Sminthurinus,Katiannidae,,diet not documented in literature,,33055657(medline)|18533531(medline)|33801126(medline)|33746534(medline)
46,Cyphoderus,Lepidocyrtidae,,diet not documented in literature,,6040DE7A2535FFA25A767114FDAFFAE1(plazi)|159CFDABE5646F475BD021373A0399B9(plazi)|6CB1AEDA09E85EB254C928B8B074EDF1(plazi)|D9A229866E614449E14AF67CC489E500(plazi)|55468786AC05FFB75C85C610B95A07EC(plazi)
47,Lepidocyrtus,Lepidocyrtidae,herbivore,assigned from literature,"Lepidocyrtus species, including Lepidocyrtus chorus and Lepidocyrtus nigrosetosus, are known to ingest pollen, either directly by visiting flowers or through consumption of wind-borne pollen. However, not all species within the genus possess the digestive capability to break down the pollen wall.",A2620B55FFE2FFF9FF6CFF19FD5A8723(plazi)
48,Pseudosinella,Lepidocyrtidae,predator,assigned from literature,"There is no specific information regarding the diet of Pseudosinella species. The sources focus on taxonomy, morphology, and distribution rather than feeding habits. Further research would be needed to determine their dietary preferences.",30486077(medline)|32204486(medline)|30313554(medline)|33223894(medline)|34744473(medline)
49,Anurida,Neanuridae,predator,assigned from literature,"No specific information regarding the diet of Anurida species is given. The sources focus on morphological characteristics, geographic distribution, and behavioral patterns such as tidal synchronization, rather than dietary preferences. Further research would be needed to determine their feeding…",30313303(medline)|34810565(medline)|28311099(medline)|27988783(medline)|41119333(medline)
50,Bilobella,Neanuridae,,diet not documented in literature,,FE4387E3FF96FFC4FF1DF9C1FCE0FCE7(plazi)|03D46157FFAEFFBAFF58F9C6FDF1FE07(plazi)|03BE2A4AFFA2FFEC51A97C0EFB33FD59(plazi)|03E8878C3C01735ED89DFD17FA35FA6E(plazi)
51,Deutonura,Neanuridae,detritivore,assigned from literature,"There is no explicit information regarding the diet or feeding habits of Deutonura species. The sources primarily focus on taxonomic descriptions, geographical distributions, and morphological characteristics of various Deutonura species. Therefore, the feeding ecology of Deutonura remains…",039187891700FF8BFF149B12FB6E62B3(plazi)|039AEC5BFFD27305FF75D5A8FE1FFAE7(plazi)|039AEC5BFFD27300FF75D1E5FCD2F9E4(plazi)|148B3247C0DD503BB4E192EF3AB43783(plazi)|0B499BA71D6A5DABB3F3228F3DEF02B8(plazi)
52,Endonura,Neanuridae,fungivore,assigned from literature,"Endonura species are primarily specialized to feed on slime molds. This dietary preference is linked to specific morphological adaptations, such as the structure of the labrum, which allows them to consume certain types of slime molds and thereby reduces interspecies competition. Additionally, it…",PMC5523199(pmc)|10.3897/asp.82.e114038(pmc)
53,Friesea,Neanuridae,predator,assigned from literature,Friesea is known to feed on micro-invertebrates. Some specimens have been found to contain tardigrade claws and rotifer trophi (mouthparts) in their alimentary canals.,D9036F2D0B53651D1FE7CB2FFD5EFCC5(plazi)
54,Lathriopyga,Neanuridae,"omnivore, fungivore, algivore, detritivore, predator",assigned from literature,"There is no explicit information about the diet of Lathriopyga. However, general knowledge suggests that springtails (Collembola) often feed on decaying organic matter, fungi, algae, and detritus. For specific dietary habits of Lathriopyga, further research would be required.",PMC4467183(pmc)
55,Micranurida,Neanuridae,,diet not documented in literature,,36095384(medline)
56,Monobella,Neanuridae,,diet not documented in literature,,PMC5904444(pmc)|PMC11432141(pmc)
57,Neanura,Neanuridae,,diet not documented in literature,,03AF87BCFF96320D35D0FE43FBEAD163(plazi)|F06FA25FFFD2FF93FF0205EEFB08818D(plazi)|03DA573DFF9E4C22FC5AFC54D7F4FA84(plazi)|266B5D55F76EFFFCFF7EFA724547F86A(plazi)|038187C0945A116EFF31F996FE324FAB(plazi)
58,Pseudachorutella,Neanuridae,predator,assigned from literature,There is no specific information regarding the feeding habits of Pseudachorutella ellisi sp. nov.. The description focuses on morphological features rather than dietary preferences.,37518281(medline)
59,Pseudachorutes,Neanuridae,,diet not documented in literature,,BD19879DB83ABF589BB17DDF9074FB99(plazi)|3639C6609E5FFF90FF3D4FBF37657F25(plazi)|3639C6609E56FF9EFF3D4EFF33C079E7(plazi)|6C8DBFFDED1DB7930149B56BCEDBCA7B(plazi)|03FF6C3A853FFFC47A8C8F23F2A0FB52(plazi)
60,Thaumanura,Neanuridae,,diet not documented in literature,,10.11646/zootaxa.5275.1.1(pmc)
61,Megalothorax,Neelidae,,diet not documented in literature,,37044660(medline)|26877679(medline)|37518265(medline)|27110149(medline)|40173943(medline)
62,Neelides,Neelidae,,name absent from SIBILS corpus (verify for synonymy or misID),,
63,Neelus,Neelidae,,diet not documented in literature,,3545FC68FFF1FFC8A691FEB7C35CABBC(plazi)|D512281BFFD6685AD0D8FB11FDFDFE60(plazi)|D512281BFFDD6841D0D8FE53FCE2FD50(plazi)|DEA8E63A4481B322F5E78861E67246F4(plazi)|03A8760E7B014F6072BBF947D0A07571(plazi)
64,Superodontella,Odontellidae,,diet not documented in literature,,03BB9D1CFF8095204AC1FF2EFF46F819(plazi)
65,Xenyllodes,Odontellidae,,diet not documented in literature,,266B5D55F770FFE2FF7EF92A4547F811(plazi)|03FA87DFFFF8FF86FF3B2F95FCFDF8E4(plazi)|03FA87DFFFFDFF87FF3B28B0FB17FAD0(plazi)
66,Oncopodura,Oncopoduridae,,diet not documented in literature,,39361111(medline)|30647373(medline)
67,Absolonia,Onychiuridae,,diet not documented in literature,,10.5852/ejt.2023.879.2161(pmc)|PMC6961878(pmc)|PMC6811635(pmc)
68,Cribrochiurus,Onychiuridae,,name absent from SIBILS corpus (verify for synonymy or misID),,
69,Detriturus,Onychiuridae,,name absent from SIBILS corpus (verify for synonymy or misID),,
70,Deuteraphorura,Onychiuridae,predator,assigned from literature,"There is no specific information regarding the diet or feeding habits of Deuteraphorura species. The sources focus on taxonomic descriptions, redescription, and ecological contexts such as cave habitats, but do not mention dietary preferences. Further research would be needed to determine their…",34811047(medline)|23438196(medline)|27701339(medline)|33055866(medline)|31940408(medline)
71,Heteraphorura,Onychiuridae,detritivore,assigned from literature,"Heteraphorura species are primarily detritivores, feeding on decaying organic matter such as leaf litter and soil particles. They play a role in decomposing plant material and contributing to nutrient cycling in forest ecosystems. Specific dietary preferences for individual species within the genus…",PMC11203639(pmc)
72,Hymenaphorura,Onychiuridae,,diet not documented in literature,,018EE4D93A7E5EE491F7E265318D60BC(plazi)|BD177DBD12F7513BB272934FABF56792(plazi)|D5A09FD5718A5B9CBCB1B9B5A0930737(plazi)
73,Kalaphorura,Onychiuridae,"detritivore, predator",assigned from literature,"There is no specific information regarding the diet of Kalaphorura. However, it is noted that Kalaphorura carpenteri was associated with site S in scree habitats. Collembola, in general, play a role in decomposing organic matter and contribute to nutrient cycling, suggesting that Kalaphorura may…",10.3897/subtbiol.40.69808(pmc)|PMC6305484(pmc)
74,Megaphorura,Onychiuridae,predator,assigned from literature,"There is no specific information regarding the diet of Megaphorura arctica. The sources discuss aspects such as heat tolerance, cryoprotective strategies, and contaminant levels but do not mention feeding habits. Therefore, the dietary preferences of Megaphorura arctica are not addressed in the…",38841875(medline)|23143920(medline)|24816280(medline)|19622137(medline)|31589028(medline)
75,Oligaphorura,Onychiuridae,,diet not documented in literature,,22639536(medline)
76,Onychiuroides,Onychiuridae,detritivore,assigned from literature,"There is no explicit information regarding the diet or feeding habits of Onychiuroides species. The sources primarily focus on taxonomy, distribution, and ecological preferences such as habitat types like soil and leaf litter, but do not specify dietary information for Onychiuroides. Therefore, the…",10.3897/subtbiol.40.69808(pmc)|10.11646/zootaxa.5275.1.1(pmc)|10.11646/zootaxa.5147.1.1(pmc)
77,Onychiurus,Onychiuridae,"omnivore, fungivore, predator, detritivore",assigned from literature,"There is no direct information about the diet of Onychiurus species. However, given that several Onychiurus species are described as inhabiting mushroom environments, it is possible that they may feed on fungal materials or detritus associated with these habitats. This inference is based on…",31715768(medline)
78,Orthonychiurus,Onychiuridae,"fungivore, predator",assigned from literature,"Orthonychiurus feeds on slime molds, as indicated by the mention that ""Crossodonthina sp. (which feeds only on slime molds among..."". Additionally, some species within the genus may also feed on fungal materials or decaying plant matter, as noted in general descriptions of Collembola. However…",PMC12284588(pmc)|PMC7808379(pmc)
79,Protaphorura,Onychiuridae,"omnivore, algivore, predator, fungivore, bacterivore, detritivore",assigned from literature,"Protaphorura feeds on a variety of organic materials including leaf litter, fungi, bacteria, roots, and algae. Additionally, bacterial nutrition was specifically demonstrated in the onychiurid springtail Protaphorura armata.",PMC12547479(pmc)|10.3897/subtbiol.16.8609(pmc)
80,Supraphorura,Onychiuridae,,diet not documented in literature,,PMC6297133(pmc)
81,Tetrodontophora,Onychiuridae,"predator, bacterivore",assigned from literature,"Tetrodontophora feeds primarily on other small organisms such as springtails and possibly other microorganisms. Specifically, it is noted that Tetrodontophora bielanensis is part of the group where prey items include colored springtails like Hypogastrura sp. or Tetrodontophora sp., although the…",PMC5602048(pmc)
82,Thalassaphorura,Onychiuridae,predator,assigned from literature,"There is no explicit information regarding the diet of Thalassaphorura. The sources discuss the ecological roles, distribution, and responses of Thalassaphorura to environmental factors, but not their feeding habits. Further research would be needed to determine their specific dietary preferences.",PMC11942941(pmc)|PMC3419650(pmc)|PMC5730192(pmc)|10.5281/zenodo.13314112(pmc)|PMC3890660(pmc)
83,Heteromurus,Orchesellidae,"predator, fungivore, bacterivore, algivore, omnivore",assigned from literature,"Heteromurus feeds on a variety of substrates including fungi, particularly Agaricomycetes, as well as organic material in soil, nematodes, and possibly bacterial sources. It is noted to consume both fungal and non-fungal materials, indicating a mixed diet.",PMC9968043(pmc)|PMC9747110(pmc)|PMC6297133(pmc)|10.3897/subtbiol.16.8609(pmc)
84,Orchesella,Orchesellidae,predator,assigned from literature,"There is no specific information regarding the diet of Orchesella cincta. The sources discuss aspects such as genetics, morphology, and ecological interactions but do not mention feeding habits. Further research would be needed to determine what Orchesella feeds on.",24398075(medline)|25061350(medline)|21416112(medline)|28309162(medline)|19027878(medline)
85,Troglopedetes,Paronellidae,,diet not documented in literature,,C41EAAD54C3D53BE8E86152B09A1A080(plazi)|2065CA16C7EC5AEE904DD5660EEF0C54(plazi)|E72B73340A205C6FB00058D0F2128C22(plazi)|94176063FB2A5DAA9E626EF7B42441D1(plazi)
86,Podura,Poduridae,,diet not documented in literature,,31015288(medline)
87,Seira,Seiridae,,diet not documented in literature,,0E45486FFF83FFA0FF20F9EE66F3FD92(plazi)|470A87BFE17AFF9FFF2B76FE72961CEC(plazi)|03E587FCE04F302BFF02FB254974FD1C(plazi)|DA29B665D721F91FFF10A1659B05FB6E(plazi)|03AEC0405D6CFF8EFF4DF95F4D9FF813(plazi)
88,Allacma,Sminthuridae,,diet not documented in literature,,33801126(medline)|11732170(medline)|37650155(medline)|35946560(medline)|19027878(medline)
89,Lipothrix,Sminthuridae,,name absent from SIBILS corpus (verify for synonymy or misID),,
90,Sminthurus,Sminthuridae,predator,assigned from literature,"There is no direct mention of what Sminthurus feeds on. However, it is noted that Sminthurus viridis, a species within the genus, is an important pest of winter grain crops and pastures in Australia, suggesting it may feed on plant material. Additionally, the ventral tube structure of Sminthurus…",32346741(medline)
91,Sminthurides,Sminthurididae,,diet not documented in literature,,03E0BD5B6050FFA9FF2CFCD8FB20FEAA(plazi)|266B5D55F71EFF8CFF7EFCE545A0FAF2(plazi)|A742F903FF9DFFA6CAB3FF20C17510DE(plazi)|52FD4C8226885A889BE5E7E1832EF46C(plazi)|266B5D55F71DFF8FFF7EF9D64506F917(plazi)
92,Sphaeridia,Sminthurididae,,diet not documented in literature,,20339592(medline)|5603225(medline)|183612(medline)|7199488(medline)|37560261(medline)
93,Stenacidia,Sminthurididae,,diet not documented in literature,,03E0BD5B6050FFA9FF2CFCD8FB20FEAA(plazi)
94,Plutomurus,Tomoceridae,,diet not documented in literature,,DB28A21D9214FF8EFF18FBD2FC9FFEE8(plazi)|03C2FA4DFFA7FFEDFF69F97B984DFDB6(plazi)|5630E96FFFD0FFA804DAF97CFE510B82(plazi)|4A0C87CCAD4AFFBBB187FD97FB09FCC6(plazi)|039987FCFFC7FF96FF143D9169F28BDE(plazi)
95,Pogonognathellus,Tomoceridae,,diet not documented in literature,,25661939(medline)|17222862(medline)
96,Tomocerina,Tomoceridae,bacterivore,assigned from literature,"Tomocerina species exhibit dietary shifts influenced by elevation, with evidence suggesting they feed more on microorganisms, microbial residues, or other isotopically enriched resources at higher elevations. Specific details about their exact food sources are not explicitly mentioned in the texts.",PMC10980659(pmc)
97,Tomocerus,Tomoceridae,,diet not documented in literature,,30485975(medline)|27394254(medline)|25661939(medline)|27110179(medline)|40173748(medline)
98,Tritomurus,Tomoceridae,,diet not documented in literature,,4A0C87CCAD4AFFBBB187FD97FB09FCC6(plazi)|03AEA13AFF77672FFF1AFBDCFC6AFE37(plazi)|B0158799FFB2FFFECCADFA0EFA93FC5B(plazi)|8C788F692A6AAE7ED9CF83658AA8717A(plazi)|CE15748A5A2091405F29E736629BCD8F(plazi)
99,Mesaphorura,Tullbergiidae,"omnivore, fungivore, herbivore, predator",assigned from literature,"Mesaphorura species are part of the Collembola group, which includes both detritivorous and herbivorous feeding habits. Specifically, some Collembola, including Mesaphorura, can consume plant tissue and fine roots, acting as herbivores. Additionally, many Collembola and Oribatida are mycophagous…",PMC7380278(pmc)|PMC3419650(pmc)
100,Metaphorura,Tullbergiidae,,diet not documented in literature,,635CDAF4A788D35ED832B7A5DDFC6306(plazi)|B61F5EA3F7BA17E4FB831AC75845F48D(plazi)
101,Paratullbergia,Tullbergiidae,,diet not documented in literature,,26668547(medline)
102,Stenaphorura,Tullbergiidae,,diet not documented in literature,,27615985(medline)
